title,rating,review
Godiva reported as great. However no gift card or indication of sender.,5.0,"Gift Godiva, one of three. No gift card as ordered. Awaiting response from other two as I just found out today after 11/29 delivery.

Second of three responded - no card or any other indication of sender."
Melted!,1.0,Arrived with chocolates melted all over inside of box. $34.99 box of melted chocolates.
Love it,5.0,Sooooo good
This Product is Always 100% Awesome & Delicious,5.0,Did not last very long
Not very tasty too sugary and not rich in flavor like other Godiva products,1.0,"Nothing like the Godiva I’ve had in the he past
Definitely a cheaper version"
Arrived very damaged. No refund or return.,1.0,"Uneatable, damaged. Was meant to be a gift."
Melted,1.0,Melted chocolate
Did not follow instructions,1.0,"This item was sent as a gift to my aunt. I had requested a gift card be included with the item, however, when I called my aunt to see how she like the chocolate, she told me because she didn't know who sent it to her, as a safety precaution, she threw it away. Extremely annoyed."
S-l-o-w-l-y shipped from Godiva,2.0,"Completely missed the occasion it was sent for due to extreme slow shipping from Godiva. It took several calls, chats and emails. Godiva Customer service is the worst."
No gift message!,1.0,Good value for the money spent but there was no gift receipt and message to the recipient. What’s wrong Amazon workers? This happens almost every holidays with gifts.
"It was a gift, but the recipient said they were absolutely delicious!!!",5.0,I gave this as a sympathy gift and my friend and his daughter said they were delicious. Their only complaint is that they had to look on the bottom of the box to see what was inside each candy. That seems silly. There should be something inside to tell you that. But the taste is really what matters and they both loved them.
My Mom’s Favorite Gift.,5.0,"My 90 year old Mom loves Godiva chocolates so much she hides them from the family! Great quality, value, and packaging"
Great gift to my brother and his family for any occasion.,5.0,Godiva chocolate is a special event in our family.
Probably delicious if they weren’t all melted upon their arrival.,2.0,Probably delicious if they weren’t all melted upon their arrival.
Arrived Melted and Inedible,1.0,Unbelievable. This item was a gift. Incredibly embarrassing to receive this picture from my mother on Mother's Day.
Yuck,1.0,"The candy has a really bad stale smell and the dark chocolate has the old dusty layer on top of the chocolate, which is very similar to what really old candy bar looks like. I wanted to return but it’s saying this is ineligible for return."
Delicious,5.0,"Delicious and delivered in-time. With all the retail stores closing, this might be the only way to buy Godiva"
QUALITY & DELIVERY,5.0,Gift
Excellent Chocolates,5.0,Excellent Chocolates; Nice enough Gold Box with Ribbon
Simply the Best. Mmmmmm,5.0,Godiva Chocolates are always a heavenly experience. They are good to serve with after dinner coffee or gourmet tea and a good book! So versatile and you’re worth it!
𝓓ɪᴠɪɴᴇ,5.0,"ɪᴛᴇᴍ ᴀʀʀɪᴠᴇᴅ ᴏɴ ᴛɪᴍᴇ ᴀs ᴅᴇsᴄʀɪᴘᴛɪᴏɴ ɪᴛ ɪs ᴀ ʙʀᴀɴᴅ ɴᴇᴡ
ʙᴇᴀᴜᴛɪғᴜʟ ɪᴛᴇᴍ
ᴄᴜsᴛᴏᴍᴇʀ 110% sᴀᴛɪsғɪᴇᴅ ᴛʜᴀɴᴋ ʏᴏᴜ"
She Loved Them,5.0,Price was very reasonable (for Godiva). She loved them. Win-win!
Yum,5.0,"Purchased as a gift for a chocolate lover, and it was a winner!!!"
Gifts for couple ladies,5.0,I bought these for a couple of ladies at work and they love them
Worth. Every. Calorie!,5.0,"Variety, flavors, textures! Outstanding! Beyond expectation. These are the ones to buy!"
perfect gift,5.0,"Gift for any occasion! Says it all.
Sent one to yourself. you'll be glad you did"
go to xmas gift,5.0,westsiide
Delicious,5.0,Delicious
Disappointed,1.0,Chocolates were old and I wasn’t happy with this order at all
Fantastic,5.0,everything was great
Yummy chocolate,5.0,Arrived on time and looked beautiful. Excellent gift
Always great chocolate,5.0,Came in perfect and not melted or messed up. Godiva is always great tasting.
Fresh,5.0,Recipient was thrilled with packaging and freshness. Will order again.
Great gift item,5.0,Wonderful chocolates.
Can’t go wrong!,5.0,"These are always a winner, the price point is perfect for sending as a gift and they are exactly as the description says. It is one layer so it is not a lot of candy but the presentation is beautiful"
For GODIVA these taste bland,5.0,I liked how my family ate it in one sitting. It comes with a paper that tells you all about the chocolates that are inside and they also have chocolates on there that are not in the box. It was very confusing to navigate trying to find out which chocolate im eating just by pictures.
Great chocolates,5.0,Perfect gift
