title,rating,review
Wonderful gifts in past orders. But this one was in CRUMBLES.,4.0,"I reached out to get a ""replacement"". I'm in process of awaiting a reply.
UPDATE: We received a replacement box in tip-top condition. This company was very responsive and I would shop with them again and again. Great gifts."
Makes a nice gift.,5.0,"I have ordered it as a gift to a few friends and received much thanks. Honestly, I have never tried it myself. But... it seems to make a good gift"
Melted Chocolate,3.0,"I bought three of these Biscotti Gift Boxes, one box came with melted chocolate. Not good."
Cookies!,3.0,Good selection but wasn't as fresh as I'd hope for. The family ate them in one night
Tasty,4.0,These are super yummy. But the package was totally messed up. And some of the chocolates melted off while in shipping.
The best,5.0,An excellent gift!
Disappointing for the price,3.0,"While these treats tasted good, they arrived broken and with some of the toppings melted."
Bought As A Good Gift,5.0,"This box of biscotti was sent to a beloved friend. They said they loved it! It opened up in a good aroma of vanilla and chocolate. The only complaint was that it looked TOO gourmet, haha! Good gift for a good friend."
Excellent,5.0,Delicious
Great Gift Idea,5.0,"Here is something to get for a person you care about and yet you’re not sure what to get as a gift. It is sweet, and special enough to say you care!"
Dry.,3.0,"Each had the same flavor, bland vanilla."
They were all melted,3.0,They were all melted and out of place
A gift for my brother for his birthday I liked it very elegant,5.0,I was so happy ordered it got it the same day Amazon awesome it comes in a nice box with a black bow I knew my brother would love it and he called and really did.
Delicious but….,4.0,"Delicious, six different biscotti, beautiful box. Problem was five were broken, broke more trying to remove from box."
Beautiful presentation,5.0,"I got this box for my boss' birthday. Biscotti's are her favorite, so these were absolutely perfect. There are 12 in the box and you get 2 of each type. They're covered in either white, milk or dark chocolate. The 3 white chocolate ones have either cookie crumbs, dried cranberries or coconut on top and the 3 covered in milk or dark chocolate have either caramel chip, almond crunch or peppermint on top. They come in a super cute box. I love the teal letters and accent colors on the box and it's even better that the box has Happy Birthday already marked on it. I didn't even have to wrap it! If you want a birthday present that will wow the recipient, this will do the trick."
Quick delivery,4.0,They were delicious
Mother loved this,5.0,Got this as a Mother's Day gift. She loved it.
Mom's Day Gift!!,5.0,"My mom lives Biscotti, so when I came across this posting I knew it'd be perfect. It ships in a decent amount of time, it's super sealed, and they were really pretty!! The only issue is that the flavors and toppings aren't listed anywhere on the box or inside packaging. So I had to come back to this post to screenshot n send to her. So that was a damper. But all in all a good gift!!"
Awesome gift!,5.0,This was a gift for my mom. It was the perfect gift for her! She loves her biscotti and can be a little picky about the ones she gets so the variety was perfect for her. She said they were all delicious!
From frown to crown 🙂👑,5.0,"While the cookies look very nice and delicious, the carefully wrapped package was missing a cookie making it ungiftable.

UPDATE: Based on the above review, the company reached out to me about my dissatisfaction. To their credit, they were genuinely concerned about the product I received. They went way above and beyond to make sure I was happy. Since the first review, I can definitely upgrade my review to five stars, six if I could. Also, my family gathered and I served the biscottis to rave reviews on the taste and texture. I will be a return customer and suggest you do the same. You won’t be disappointed ⭐️⭐️⭐️⭐️⭐️⭐️"
Good,5.0,It was good for a gift
Delicious,5.0,"Dear Barnett's, I hope you get this message. I bought these biscotti for our family in Australia. Since you are Australian living in NJ ,I thought our cousins would appreciate it and think it was pretty funny. Well they were sent off in a package with some other gifts. Unfortunately the Australia Post took possession of our package and wouldn't let it go through customs because I had sent some tomato seeds. Even though they were completely sealed up,seeds are a no no. Why they didn't just take the seeds out and send the package on its way is a mystery to me. They sent the whole package back to NJ. So your biscotti went over 20,000 miles and not one of them broke. Anyway I just wanted you to know how good your packaging is and if you haven't been home for a visit lately at least some of your biscotti had a quick visit.
BTW they are delicious"
Only beautiful packaging.....inside is a mess!,4.0,"The biscotti came in beautiful packaging but when we opened them half of the biscotti were cracked, there were lots of crumbs everywhere. When we tasted them there was no flavor, and they did not taste fresh. I would not recommend this product as giftable. It's nothing like the picture shows.

UPDATE: 3-3-21
I had contacted the seller and Adley gave me a full refund and actually sent another package of the cookies and asked to let her know how these looked and tasted. These tasted a looked about the same as the first ones so I am not too happy about that. I am very impressed with their customer service though. Thanks Adley!"
Biscotti not great and too soft,3.0,Wasn’t crazy about any of the flavors and disappointed in the lack of crunchiness. Biscotti in my experience is supposed to be dunk-able in your coffee but there is no way you could dunk these; they were too soft. Didn’t care for the flavors. Recipient opened and shared immediately with me; I was embarrassed at quality for price.
Mmmm,4.0,"Well they are good, but as a mexican that eats alot of pan dulce i don't think I'll buy another box, not worth the price, i can easily go to my local panaderia and gen double the bread half the price and like x4 times the amount"
They were ok but stale,3.0,They were stale
received replacement thank you!,5.0,good and fresh biscotti
Biscotti,5.0,The biscotti were delicious!
The Biscotti Cookies are VERY SOFT and not the firm crisp ones like from Italy.,2.0,Half the box had broken cookies due to shipping and softness of the product.
I give these as a gift,4.0,My only negative is that the write does not tell you that they are minis only about 2.5 inches long. Need to eat 2 or three of them at once. to equal a full size one.
Really yummy!,5.0,"Have previously written a review for this item, however, this item was found to be extremely yummy from a person who is hard to please. Arrived quickly, tasted great, nice variety, and I was told definitely worth buying again!!"
A really great gift,5.0,This gift really cheered up my best friend so far awsy. She was delighted with texture and flavour.
Disappointed!,2.0,These were advertised as biscotti but they are not! They’re just crumbly cookies….they don’t even look as nice as picture. So disappointed! And they weren’t fresh…tasted old.
Very delicious,5.0,It was an excellent gift.
Good product - Good company,5.0,"After receiving the initial order, found crushed biscotti. I suspect it was via delivery but had no way of knowing. Previous orders had always arrived in tact.
The company immediately reached out (reading my review) and sent another order. Outstanding customer service. They sent several communications along the way and it is apparent that they truely value their customers. The biscotti is of excellent quality and I will continue to order from Barnett's."
Dry & Broken.,2.0,Dry and broken.. More like sugar cookies that biscotti.
Mom loved them,5.0,I sent them to my mom she said they were taste and she loved them she told me a great gift
"Stale, tasteless, crumbly - update 03/02/2021 - 4 stars for their outstanding customer support",4.0,"I don't know where those high reviews came from, but I will never by this product again. After the initial dive into the box no one would eat any more so they were thrown into the trash.

03/02/2021 - The company provided me with a full refund. Pretty unexpected and quite impressive. They also asked if that could replace the box we had received to see if there may have been a problem with the one we got. We sampled it today and found this box was much better than the previous one. They certainly stand by their product."
Not traditional hard biscotti,4.0,Not traditional biscotti was soft. Bland. All varieties tasted the same.
Check the expiration date!,3.0,"CHECK the expiration date sticker on the bottom of the box before eating! Amazon has apparently been sending out old stock from the back of the warehouse. I ordered a box in May 2021 and received one with an expiration date of 5/1/2019! Yuck!!!!

The company, when contacted directly, did send me a replacement item. And they were tasty. However, the gentleman in customer service said it had just been baked that day and the expiration date was 1/15/2022. What kinds of preservatives are in these that they last for 8 months? My box that was several years old looked exactly like my box that was fresh. Identical. I would absolutely have eaten them if I hadn't happened to see the date. And, by the way, that means that the first box I received would have been baked in 2018! Ick."
They look better than they taste,4.0,They are pretty sweet biscotti.
Package must have been old,3.0,"Sticky, melted, and stuck to package"
My daughter and son in law loved them.,5.0,Looked and tasted as shown.
Taste,5.0,Love them as a treat with coffee. Gift them to my sister-in-law as she has lots of allergies ta additives BUT she can eat and loves cookies!!
Mornings are so much sweeter,5.0,The cookies are the perfect size for dunking in tea or coffee. The chocolate ones are the best. The cookies are sweet enough that it's not necessary to use sugar in the beverage. It's hard stopping at just one!
Not worth price,3.0,Not that flaverful
Love the good taste and the portion.,5.0,"I'm not a real biscotti fan...Generally speaking...but these are absolutely great! I’ve tried it out and totally in love. Me and my family of 4 love these cookies very much and we will definitely buy them again. They are not the usual type of hard biscuit, they are more like biscuit, but not too sweet, icing and various toppings make them more perfect. Will definitely buy them again."
Not a favorite,3.0,A bit on the dry side. Hubby did not like and will not order again. I have had much better.
Mother's Day Ooooopppsss,5.0,"SO there was an Oooooppppssss made when we ordered this item for a Mother's Day Present. The Amazon box arrived in perfect condition and so did the Barnett's Box inside. The problem was the Barnett's Box was completely empty, not even a crumb, like the box got skipped when they were filling them. Adley at Barnett's Sweet Creations went way above and beyond to correct this mistake. She refunded us, sent a fresh box out to Mom and sent one to us. More than what I expected. The best part was the biscotti, the wife and kids loved them. Mom liked hers too. Thanks Again Adley. We would order these again, just based off of the customer service."
They arrived melted!,2.0,"Was a gift for my mother! She stayed home and waited for the delivery. She picked up the package within 2 minutes of arrival (off porch). Mom said they were all melted, but told me they were very good 'because i bought them for her!' Not to worry please, ""I will eat them anyway!"""
"Good ,but Overprice",4.0,"They looks better on the website , and I think it’s over price ,,,the flavors not bad at all ,,,, disappointment with the box ,"
Too sweet.,2.0,Too sweet.
They are fantastic!!!!!,5.0,Have ordered these in the past and there are fabulous!!!
Not worth the money…,2.0,"The biscottis were melted and messed up, which we thought, ‘okay, they will make up in flavor what they lack in presentation.’ Nope, wrong. They tasted stale and bland. I would pay maybe 10$ for this product, but definitely not 40$."
My sister loved them.,5.0,Gift. Sister loved it.
"Tiny little cookies, more like samples than full size cookies.",4.0,"The size of the cookies is a little deceiving. They are not full size cookies as you would see in a bakery or grocery store. the box is 12 in. wide and there 3 cookies across. With the gaps left between cookies the actual size of the cookies is about 3 inches, not the normal 5ish you would get at the store. For nearly $40 I was expecting full size cookies. They have a return policy and will likely send these back and just get some store bought ones. The quality appears to be top notch, they are all well made and look delicious, just can't get past the price/size ratio.
Update: Barnett's offered a full refund in light of my dissatisfaction of the cookie size. Due to their customer service i have changed my rating to 4 stars. My wife also confirmed that the quality of the cookies was good, everyone she shared them with enjoyed them and they weren't stale or broken as some other reviewers have experienced."
"Very good,great gift",4.0,"Great flavor, nice selection"
More shortbread than biscotti,2.0,These are small and more like shortbread than biscotti. You’d do best to just buy Nonni’s.
Easy to work with,4.0,"I had an issue with my order. However, they were very accommodating in taking care of it. Thank you!"
Tasty however more of a crisp cookie than a traditional biscotti,5.0,"I was gifted a box of these last Christmas and managed to stretch them into February. I decided to just purchase my own. I seldom find a treat that I can not live comfortably without.

Now to the review of the product. A three by one inch with a slight variation in size between the four types. Each covered frosting/icing with decorations, nuts chocolate chips etc. which is slightly sweeter than the cookie. The cookie is mildly sweet similar to most cakes. The one with the white topping with a chocolate drizzle and raisins is fragile and tends to break. The rest did not break apart when taking them out of the box. The cookie itself are all the same flavor except to the topping. I would like to see other flavors but enjoy them as they are."
Box came damaged. Product was dry.,3.0,"The box was damaged when it arrived, the biscotti’s were dry and the icing was melted."
Not a traditional biscotti.,4.0,"These are beautifully decorated and packaged. However, I would not reorder in the summer months. They arrived with the icing melted to the paper on top of them. They are good, fresh and soft. Too soft to dunk in coffee. They might make a good gift for someone who is not expecting biscotti but a soft cookie."
If you've had1 you've had them all,4.0,"Liked the flavor. Just too much of the same. Texture was more of a cookie than that of a biscotti
However they were were fresh and made a great presentation."
Great gift,5.0,Got these as a birthday gift for my sister. She loves biscotti with her coffee and she said these were excellent.
It was more of a very dry shortbread than biscotti and crumbled before you could dip in tea.,3.0,I like to dip in tea. It was a dry shortbread that crumbled when you took a bite and dissolved when dunking. Very pricey for the quality.
Great Product and good delivery system,5.0,"This is the second time that I ordered….product is fresh, well presented and the delivery was on time.
My daughter love them."
Stale and crumbly,2.0,Very disappointing product.
Freshness and flavorful,5.0,"I received this as a gift for Valentine’s Day and I have to say, it was a great gift. It was delicious and I was surprised how fresh it was. I just ordered my second box last week. I highly recommend anyone to buy this for a gift or for yourself"
Riquísimos,5.0,Su sabor y frescura muchas felicidades !!!
The Thrill Is Gone,3.0,"Beautifully and sturdily boxed. Nice to look at a a newly-opened box. But the cookies seem all the same and the frosting, while different in colors, does not have a lot of difference in taste."
Good gift,4.0,Nice box. Great gift presentation. Very dry biscotti.
Barnett’s Biscotti Cookies,4.0,"great gift, cookies are very dry, good for dipping"
Beautifully packaged,3.0,Purchased as a gift. Packing was beautiful. These are not your traditional biscotti. These are more of a cookie (soft). They were tasty and very pretty.
To Sweet,3.0,The cookie itself lacked flavor. The chocolate covering was a little sweet but the toppings were good.
Delicious Gift,5.0,I have sent these to my daughter in law twice. She says they are delicious and loved having a tea party with my grand daughter. Will certainly order again!
Broken,2.0,They arrived broken and messy
Good cookies!,4.0,The flavor was excellent but they arrived all broken up. If the biscotti were in one piece they would make a really good gift.
Delicious and fresh,5.0,These are delicious and fresh biscotti. I like that they are not hard and dry but softer and very flavorful.
Consistency Great!,5.0,Highly recommend
They taste ok,3.0,They taste ok. They are like crunchy shortbread but drier.
Really good,5.0,Got this for my dad for Father’s Day. Box was beautiful. Packaging was tight and nice. He loved them.
Not really biscotti.,3.0,Not bad cookies. Nice packaging. Not biscotti tho.
Attractive but not really biscotti,2.0,"The packaging is beautiful and the impression when you open the box is very nice. But these are not twice baked, and the cookie itself is bland and dry. Dry would be fine if it were a true biscotti, but it is more like a biscuit, and not a good one. The height varied, some pieces were thin ends. I would not purchase these again."
it was more like shortbread than biscotti,4.0,gift
"Taste good, but crumbly",3.0,"These are tasty, but not the consistency I expect from biscotti. It's closer to an over dried shortbread than the biscotti I've had from other places."
OK,3.0,"Not quite what I expected. More ""cakey"" than hard biscuit. Doubt I'll purchase again. There are so many good supermarket options. This was a gift so it made a better ""presentation"" than store bought."
Great Biscotti,5.0,"Great biscotti, awesome for gifting. Not skimpy looking, definitely a generous amount. The flavors were good, freshness on point, makes for a great snack or gift giving. Will definitely order it again."
Look twice,3.0,"I bought these as a sample for possible corporate gifts. While they were nicely boxed, just about all of them were broken. So, I would never use them as gifts. And, they all tasted the same."
Good cookies,4.0,Tasty!
A lovely presentation of biscotti.,3.0,"I liked the packaging, appearance and the amount of biscotti. I was concerned that the pieces did not have the firm texture I associate with biscotti. The product needs to be firm because biscotti is used to dip in coffee and hold together after dipping. I enjoyed mine more after being opened a few days giving it strength to hold up to dipping. I did not like so much chocolate flavored pieces. Not really bad but room for improvement."
Delicious!,5.0,I got this for my Dad! He loved it!
Great Valentine gift,5.0,"It was late but according to hubby….they are delicious! He’s rationing them carefully as he’s tempted to eat the whole box!
I got one and it was moist, fresh and just the right amount of sweetness. I would definitely buy them again."
Really nice gift for sweet lover!,5.0,I bought it as a Christmas gift for my boss and after a couple days he came to me and told me that it tasted really good. The box itself looked really nice too. I didn’t get to see what’s inside tho cause when I got it the box was wrapped and sealed. I think it’s the perfect gift for people that likes sweets!
A Great Surprise,5.0,I bought this as a recovery gift for my sister who just got out of the hospital. It was the best thing because she loved it. She never had a Biscotti before in her life. Thank you for helping me bring back her smile and to forget temporarily her discomfort. 😊
Chocolate deliciousness,3.0,Loved the biscotti. I did feel that were not as fresh as they should be. I wonder if packaging them individually rather than in one open tray might solve this issue. However the flavors were delicious and I have enjoyed them with coffee
Mom loved them and that's what matters.,5.0,So far my mother is really enjoying them and going on 84 yrs old that's all that matters is to keep my mom happy !
Expected a fresher tastier purchase.,3.0,Flat in flavor and was not as fresh as expected.
Perfect gift item,5.0,"Beautiful package, decorated Biscotti had a softer more traditional bite and flavor. Recipient loved them."
These cookies not only look spectacular they taste delicious!,5.0,"You know when something looks good but the taste is disappointing. Well, look no further! I found a gem !!!!!
I ordered many boxes of these cookies for people as a gift for different occasions. They told me the presentation and cookies were delicious !
So, this Valentines Day 2021, I ordered a box for my sweetheart and he was extremely happy with the look and taste of these cookies.
Now that I know they look good and taste even better I will continue to order from this company!
Thanks for making a fantastic product!"
Waste of Money,1.0,This was an expensive purchase in the hope that it could be a treat when serving my friends coffee. The box itself arrived without any evidence of damage but most of the biscotti were broken. The icing was attractive but the cookies were too soft to dunk in coffee without dissolving. A Nilla Wafer covered in icing would out taste this product.
They were delicious,5.0,"My only disappointment was that they were delivered late. They were a mother's day gift.
Weather was a factor so forgiven."
Just Okay... Not Traditional Biscotti... Dry & Crumbly... & OMG SUPER EXPENSIVE!!!,2.0,"I thought with all the rave reviews, these cookies... and let's call them cookies because they're not biscotti in the traditional sense... they'd be better. They're not. Although not terrible they're basically light, dry, crumbly vanilla cookies, shaped like a biscotti, with a variety of thin toppings that make them look different from one another, but taste basically the same.

Each cookie is approximately 21 grams, so with 24 cookies to the tray, and a $40 price tag that comes out to a price per pound of about $36 (or $1.67 per cookie if you like). You're MUCH better off going to an Italian bakery that makes REAL biscotti or buying Nonni's Biscotti which are better. Sad to say, I've had better supermarket biscotti at 1/4 of the price.

Last year I gave a box of these as a gift and got a very nice report back from the recipient... now I know they were just being kind. Never again."
Disappointed,1.0,"Bought this as a gift and was really excited but felt let down after several issues.
1. Two delays meant it arrived 5 days later than planned, even though it's meant to be Prime item.
2. The box was damaged and not in a state to be presented as a gift to someone. The color and packaging is beautiful in the images but my box had bends and paper peeling off.
Overall, I actually wondered if it was a return from someone else and there was no quality control when it was packaged to be sent to me."
Arrived partially melted,4.0,"One row melted to top of package on arrival. Of course, it was June in Florida, so chocolate delivery is a risk. Dad loved it for Father’s Day anyway and licked it off the top."
Packaging was damaged and not giftable,3.0,This was ordered as a gift. Edges of box were damaged beyond what I am comfortable gifting. We decided to keep it for ourselves only to see that nearly half the biscottis were broken into 2 and 3 pieces. Very flavorful but so disappointing that it could not be the gift I intended for the considerable price. Would have returned but am aware that opened food items are not returnable.
Great Gift !,5.0,"We are a small company and ordered these as Christmas gifts for our customers. We place an order a couple years ago and received many called backs from our customers thanking us and telling us how amazing these were. We ordered a sample box this year to ensure it was the same quality before shipping it to our customers, it totally was. I love the presentation of it, you can tell they put a lot of time and effort into making this product as delicate as possible. Please be advised, if cookies do come broken, it's not the vendors fault, we watched as our delivery man dropped the box in our office, I can only imagine how they handle it in their facilities. Overall great product and great gift, plus their customer services is above and beyond !"
Pretty but fairly tasteless,3.0,"Was disappointed in this purchase and wished I had tasted it before sending several out as Christmas gifts first. They do a great job with pretty packaging and pretty frosting on the biscotti but the cookie itself is tasteless and excessively crumbly (even for a biscotti). The sugary frosting does nothing much for flavor but looks pretty. The biscotti are also small. If it wasn't for the pretty factor, would give only 2 stars at best. Instead, go to Costco, if you are a member, and get their big plastic jar of authentic anise-flavored biscotti (no stupid frosting) which are world's better in flavor and texture."
NOT QUITE ACCEPTABLE FOR GIFT,4.0,THE BISCOTTI WERE FINE BUT THE BOTTOM OF THE GIFT BOX THEY WERE IN WAS SMASHED. THERE WAS NOT ENOUGH TIME TO RETURN ITEM BECAUSE I NEEDED IT FOR A GIFT THAT NIGHT.
Delicious and impressed the giftee!,5.0,"I'm a guy, so lets be honest about something. I ordered these for Valentines Day because the box looked pretty. Candy looked yummy. Win win! Until yesterday I didn't know what a Boscotti was, but guess what, my wife sure does and she loves them it turns out. Nearly 20 years and we still learn new things. Awesome. Anyways I also loved them, but what really set this candy box apart from anything I usually buy was the cool note on the inside. I found it endearing and it added a real authenticity to it. My wife thinks I went out and found these some place and would not guess in a million years they came from Amazon.

Very well done! Will order from again! Oh yeah, a note to the baker, the ones with fruit on em.. MMMM MMMM MMMM!!!"
Just ok,3.0,I got it as a gift and I was disappointed. It looks different and a lot better in the pictures.
Excellent gift!,5.0,Superb choice as a gift especially for birthdays or holidays.
Barnett's Biscotti Cookies,4.0,"The box of 24 biscotti contained 8 different varieties. All were tasty. I was impressed with customer service. When there was an issue with our order, the company responded quickly and we were happy with the resolution of the problem."
No one complained,4.0,Assume all was good as they were eaten and no complaints
Perfect little bite !,5.0,"These are a cross between a shortbread cookie and a biscotti , very good , nice toppings . Don’t listen to the negativity, they are good , really good . I love them dipped in coffee !"
complaint,4.0,"Product contained chocolate, should have a climate control package, was not given to resident as stated and left out in the sun.. I also wrote a note that was not included!"
Stale,2.0,They were not fresh
Delicious biscotti for the holidays,4.0,Very delicious person I sent it to was very pleased with the overall taste and presentation beautiful box of cookies some were cracked but the seller was very helpful. I would recommend to all my friends and to anyone looking for a nice gift for the holidays
Not my favorite,3.0,The box was very pretty and the decorations on the pieces was lovely. I expected the hard dunkable biscotti. This was crumbly like a shortbread and be tasted stale and grainy.
Disappointed,4.0,"Very small slices, didn't very fresh."
Great gift. Very good biscotti.,5.0,"The frlavor was excellent. The freshness was surperb
The selection is awesome."
Delicious and nice presentation,5.0,Came in nice packaging and cookies were delicious. Makes a nice gift.
So...good!!,5.0,"I wanted to purchase more than two since I want one for myself lol, but they won’t let me, but I do understand. They only limit two per person, so I purchase the sampler one for myself to try. I don’t normal have sweet tooth or crave for sweets, but I can’t stop eating this once I tried it. I ended up keeping one of the big box for myself 🙈. Omg! What have I done! It’s so good! I can’t help it. Perfect for afternoon tea."
Delicious,5.0,Very fresh. Delicious. Very soft. Cute presentation. Very cute box with a bow. Would def order again. Def recommend!
Custom note DOA...,3.0,The Biscotti Cookies I heard were delicious... but the Merry Christmas attachment note never made it with the gift. Not sure who's to blame but this 'gift' was lost in translation.
Good quality,5.0,Great gift
Not My Favorite,3.0,"Sorry Amazon but this one is iffy. Yes the product is dryish, but it also lacks taste. I would not gift it. You decide. Pretty box and display."
Best gift for biscotti lovers,5.0,"I'd take a photo but an empty box isn't very appealing :) Honestly, my wife loves getting this as a gift & I like that she lets me eat some too!"
STALE.. *they were replaced* and much better,4.0,"These are stale and just gross! It says you can’t return them! So I just wasted 40.00!
**Update** so without asking I was sent another box of these and they are much better. Not stale, good flavor. Thanks!"
Mother's Day Gift,5.0,"My wife loves hem, much better than just a box of chocolates !!!"
Fantastic gift and treat!!,5.0,"I bought these for my mom who is turning 80 in November as a ""pre-birthday"" gift. She LOVES sweets, would rather eat cake than anything else. I was on the phone when she opened the box and she ate one right away, and she was really impressed. It's really not easy to impress my mother, who is German, and makes homemade bake goods like you wouldn't believe how great. So that was a thumbs up as far as I am concerned. I also ordered a box for myself just because I wanted to make sure of the quality, and I am very pleased with the quality of this product. I hope everyone else enjoys these and that your shipment turns out as great as ours."
'So this happen,1.0,I wrote a not so good review because the product that I got and gave one for a gift.. Were awful tasted old and the chocolate all melted.So dry when we tryed to pick it up it just crumbled not like a Biscotti. So got email addressed to the person that I gave gift to. And trying to make it right with a 25.oo gift card to take down my review..So reposting this.
Disappointed,3.0,"Gave as gift, I was disappointed when they opened up the gift and was passing it around to share"
Biscotti cookies were stale.,2.0,Even the topping did not taste fresh. For the price you expect better quality. Do not recommend product
Melted..,3.0,"Arrived via UPS, so it sat on a hot truck, unfortunately when I lifted off the cover all the chocolate toppings stuck to the top. So the presentation at that point dint look so great at all. Taste was ok, have had better and have had worse so in this falls in the middle, pieces were a bit smaller than expected and compared to what expected…"
Tasty but arrived broken,2.0,"They tasted very good, but most of them were broken when they arrived so it was a little embarrassing when they were opened."
